Ax,Ay,Az,Gx,Gy,Gz,Label
0.503,0.5089357161909843,0.75075,0.5011823686151595,0.5006026781698573,0.5003428169357563,0
0.50375,0.5086689783942385,0.75125,0.5012423365922597,0.5018080345095719,0.5005107272716369,0
0.5045,0.5084022405974927,0.74975,0.5009065159204985,0.5013642714790302,0.5004187763734166,0
0.5045,0.5062683382235263,0.7555000000000001,0.49951925671691316,0.5020059288340026,0.5004027849128565,0
0.502,0.5084022405974927,0.752,0.5014862063658007,0.50130430350193,0.5001289311507655,0
0.505,0.5081355028007469,0.753,0.5009065159204985,0.5018080345095719,0.5005107272716369,0
0.505,0.5070685516137637,0.7517499999999999,0.5011963611431496,0.5017000921507915,0.500526718732197,0
0.5035,0.5070685516137637,0.751,0.5009844742907288,0.5022957740566537,0.5005407112601871,0
0.50275,0.5089357161909843,0.75,0.5009384988416186,0.5016101401851412,0.5004947358110768,0
0.50275,0.5078687650040011,0.75125,0.5009524913696086,0.5012743195133799,0.5002368735095459,0
0.50325,0.5089357161909843,0.75025,0.5011064091774993,0.5018080345095719,0.49996102081488486,0
0.5045,0.5089357161909843,0.75025,0.50133428749048,0.501822027037562,0.5006166706978473,0
0.504,0.5086689783942385,0.753,0.501060433728389,0.5015481732754709,0.5002048905884258,0
0.503,0.5084022405974927,0.74975,0.5017760515884517,0.5015021978263607,0.5004027849128565,0
0.5045,0.5081355028007469,0.75075,0.5014862063658007,0.5015941487245811,0.5004027849128565,0
0.50325,0.5089357161909843,0.752,0.5013182960299201,0.5020059288340026,0.5006486536189675,0
0.50425,0.5086689783942385,0.7515000000000001,0.5009225073810585,0.5014102469281404,0.5007386055846178,0
0.50475,0.5073352894105095,0.75225,0.5011663771545994,0.5021438551813332,0.5003428169357563,0
0.50375,0.5092024539877301,0.75075,0.5011823686151595,0.5015481732754709,0.5003268254751962,0
0.504,0.5068018138170179,0.75225,0.5008465479433982,0.5020219202945627,0.5002368735095459,0
0.50375,0.5078687650040011,0.75125,0.5011064091774993,0.5016860996228014,0.5001289311507655,0
0.5035,0.5073352894105095,0.753,0.5008465479433982,0.5017160836113516,0.5006026781698573,0
0.504,0.5078687650040011,0.75325,0.5011523846266094,0.50130430350193,0.5007086215960677,0
0.50375,0.5078687650040011,0.74975,0.5008305564828381,0.5008765319319484,0.5003728009243065,0
0.50425,0.5084022405974927,0.74925,0.5014102469281404,0.5011204017054893,0.5007246130566277,0
0.5035,0.5073352894105095,0.75025,0.5011204017054893,0.501838018498122,0.5008765319319484,0
0.50325,0.5086689783942385,0.751,0.5008165639548481,0.501854009958682,0.5000529717131053,0
0.5045,0.5084022405974927,0.75025,0.5016241327131312,0.5015481732754709,0.5006326621584074,0
0.50475,0.5089357161909843,0.7515000000000001,0.5008925233925084,0.5015641647360309,0.5004487603619667,0
0.50275,0.5089357161909843,0.751,0.5008925233925084,0.5014722138378106,0.5002208820489858,0
0.50225,0.5094691917844759,0.7517499999999999,0.5011523846266094,0.5014862063658007,0.5001908980604357,0
0.50375,0.5084022405974927,0.7505,0.500800572494288,0.5013642714790302,0.5006166706978473,0
0.503,0.5084022405974927,0.75025,0.50133428749048,0.5011823686151595,0.5001749065998756,0
0.5035,0.5078687650040011,0.7517499999999999,0.5008465479433982,0.5015321818149109,0.5001908980604357,0
